Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Mount Isa,QLD,-20.7434,139.4783,Operating mine,Cobalt,,,,,
Mount Jewell,WA,-30.1804,121.4560,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Keith,WA,-27.2296,120.5417,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Mount Lindsay,TAS,-41.6973,145.3286,Mineral deposit,Tungsten,,,,,
Mount Margaret,WA,-28.3119,120.9861,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Marion,WA,-31.0738,121.4611,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Mount Martin,WA,-31.0089,121.6800,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Mulcahy,WA,-27.0534,117.6970,Mineral deposit,Cobalt,,,,,
Mount Mulgine,WA,-29.1785,116.9774,Mineral deposit,"Tungsten, Molybdenum",,,,,
Mount Oxide,QLD,-19.4787,139.3883,Mineral deposit,Cobalt,,,,,
Mount Paynter,NSW,-35.9004,147.6301,Mineral deposit,Tungsten,,,,,
Mount Peak,QLD,-21.6290,133.2954,Mineral deposit,"Titanium, Vanadium",,,,,
Mount Playfair,SA,-30.3980,138.2124,Mineral deposit,Magnesium,,,,,
Mount Rove,WA,-22.0418,120.7972,Mineral deposit,Manganese Ore,,,,,
Mount Sholl,WA,-20.9123,116.8921,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Tabor,QLD,-25.0566,147.5774,Mineral deposit,Cobalt,,,,,
Mount Thirsty,WA,-32.1019,121.6478,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Weld,WA,-28.8599,122.5475,Operating mine,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium",,,,,
Mount Windarra,WA,-28.4852,122.2330,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Muchea,WA,-31.4946,115.8822,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Mulga Downs,WA,-22.1084,118.5722,Mineral deposit,Manganese Ore,,,,,
Mulga Rock,WA,-29.9043,123.5920,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Munglinup,WA,-33.6635,120.8586,Mine - under development,Graphite,,,,,
Munni Munni,WA,-21.1170,116.8296,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Murrin Murrin,WA,-28.7668,121.8930,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Mutooroo,SA,-32.2496,140.9380,Mineral deposit,Cobalt,,,,,
Myrtle Springs,SA,-30.4169,138.2258,Operating mine,Magnesium,,,,,
Nanadie Well,WA,-27.1599,118.9485,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Narraburra,NSW,-34.3162,147.5551,Mineral deposit,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium",,,,,
Nebo-Babel,WA,-26.0954,127.7274,Mine - under development,Nickel +/- Cobalt +/- PGE,,,,,
Nepean,WA,-31.1637,121.0857,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
New Hope,QLD,-21.7293,140.4940,Mineral deposit,Cobalt,,,,,
Nicholas Downs,WA,-22.7739,120.8943,Mine - care and maintenance,Manganese Ore,,,,,
Nico Young,NSW,-34.1725,148.0808,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Night Train,WA,-17.5804,123.1131,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Niobe,WA,-27.7076,117.2671,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
NiWest,WA,-28.8633,121.7930,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
NMBD,WA,-32.4504,119.6801,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Nobles Nob,NT,-19.7115,134.2901,Mine - under development,Bismuth +/- Cobalt +/- Indium,,,,,
Nolans Bore,NT,-22.5821,133.2399,Mine - under development,Rare Earth Elements (REE),,,,,
North Stanmore,WA,-27.3457,117.9099,Mineral deposit,Rare Earth Elements (REE),,,,,
North Telfer,WA,-21.3780,122.2489,Mineral deposit,Cobalt,,,,,
Northcote,QLD,-17.0058,145.1571,Mine - under development,Antimony,,,,,
Northern Operations,WA,-31.1690,121.6514,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Nova,WA,-29.9217,115.3661,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Nova-Bollinger,WA,-31.8199,123.1924,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Nyngan,NSW,-31.6090,146.9937,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Oakover,WA,-23.3066,120.6807,Mineral deposit,Manganese Ore,,,,,
Oar,SA,-33.8036,135.5132,Mineral deposit,Graphite,,,,,
O'Callaghans,WA,-21.7921,122.2585,Mineral deposit,Tungsten,,,,,
O'Connor,WA,-33.1871,122.8422,Mineral deposit,Rare Earth Elements (REE),,,,,
Olympia,WA,-26.8204,122.1873,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Olympic Dam,SA,-30.4403,136.8894,Operating mine,Rare Earth Elements (REE),,,,,
Overlander,QLD,-21.0338,139.9095,Mineral deposit,Cobalt,,,,,
Owendale,NSW,-32.5750,147.3844,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Pacific Express,NSW,-31.5205,152.7904,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Panton,WA,-17.7515,127.8316,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Parks Reef,WA,-26.8450,117.7392,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Peak Hill,WA,-25.4572,118.6050,Mineral deposit,Manganese Ore,,,,,
Peko Tailings,NT,-19.6782,134.2838,Operating mine,Cobalt,,,,,
Pelican,WA,-28.7789,122.5753,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Perponda South,SA,-32.3074,138.4387,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Perry Creek,QLD,-18.7297,145.3347,Mineral deposit,Tungsten,,,,,
Phoenix,NSW,-34.4685,143.3073,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Pilgangoora,WA,-21.0723,118.8953,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Pinnacles,QLD,-17.7021,145.1711,Mineral deposit,Fluorine,,,,,
Pinnacles,WA,-30.2758,122.3242,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Pioneer,WA,-31.9697,121.6431,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Pioneer Dome,WA,-31.9103,121.6376,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Portia,SA,-31.4339,140.4511,Mineral deposit,Cobalt,,,,,
Princhester,QLD,-22.8620,149.9770,Mineral deposit,Magnesium,,,,,
Prospect Ridge-Arthur River,TAS,-41.1813,145.4488,Mineral deposit,Magnesium,,,,,
Pug Hill,SA,-30.3094,138.1136,Mineral deposit,Magnesium,,,,,
Puwanapi,NT,-11.7400,130.0700,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Pyke Hill,WA,-29.0521,122.1529,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Quartz Hill,QLD,-18.0931,144.2399,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Quicksilver,WA,-32.7435,118.6678,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Radio Hill,WA,-20.9825,116.8648,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Range Well,WA,-26.8212,117.7396,Mineral deposit,"Chromium +/- Cobalt, +/- PGE +/- Nickel",,,,,
Ravensthorpe,WA,-33.6421,120.3963,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Renner West,NT,-18.3373,133.6545,Mineral deposit,Manganese Ore,,,,,
Richmond,QLD,-20.4652,142.8024,Mine - under development,"Vanadium, Molybdenum",,,,,
Ripon Hills,WA,-21.2145,120.7433,Mineral deposit,Manganese Ore,,,,,
Riverina,WA,-29.7493,120.5596,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Rocklands,QLD,-20.6724,140.3636,Mine - care and maintenance,Cobalt,,,,,
Rockley,NSW,-33.7168,149.5199,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Rosie,WA,-27.6246,122.0143,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Rover 1,NT,-20.0021,133.6567,Mine - under development,Bismuth +/- Cobalt +/- Indium,,,,,
Ruth Well,WA,-20.8684,116.8655,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Saint Elmo,QLD,-20.5704,141.8848,Mine - under development,"Vanadium, Molybdenum",,,,,
Saints,WA,-29.9986,121.1853,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Samarkand,NT,-22.7322,136.0899,Mineral deposit,Tungsten,,,,,
Savage River,TAS,-41.4880,145.2044,Operating mine,Vanadium,,,,,
Savannah,WA,-17.3526,128.0277,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Sconi,QLD,-18.9721,144.9267,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Scott River,WA,-34.2601,115.3346,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Screechowl Creek,SA,-29.8941,137.6598,Mineral deposit,Magnesium,,,,,
Seymour,TAS,-41.7451,148.2901,Mineral deposit,Fluorine,,,,,
Sherlock Bay,WA,-20.8112,117.5406,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Si2 North,QLD,-15.0000,145.2000,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Siberia,WA,-30.2476,120.9321,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Sill 80,NT,-14.9372,134.0357,Operating mine,Titanium,,,,,
Silver Knight,WA,-31.5915,123.4410,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Sinclair,WA,-28.3741,120.8645,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Siviour,SA,-33.9180,136.4283,Mine - under development,Graphite,,,,,
Slopeaway,QLD,-22.9385,149.8306,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Sonoran,SA,-30.9473,132.2968,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
South Kambalda,WA,-31.6278,121.6613,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
South Woodie Woodie,WA,-22.3405,121.2261,Mineral deposit,Manganese Ore,,,,,
Spargoville,WA,-31.3181,121.4917,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Sparkler A,WA,-34.3878,116.7146,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Speewah,WA,-16.3614,127.9495,Mineral deposit,"Titanium, Vanadium",,,,,
Speewah Valley,WA,-16.4041,127.9782,Mineral deposit,Fluorine,,,,,
Spinifex Ridge,WA,-20.8875,120.1118,Mine - care and maintenance,Molybdenum +/- Rhenium,,,,,
Splinter Rock,WA,-33.3114,123.0831,Mineral deposit,Rare Earth Elements (REE),,,,,
Split Rocks,WA,-31.7657,119.5868,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Spotted Quoll ,WA,-32.4782,119.6778,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Springdale,WA,-33.8938,120.3748,Mineral deposit,Graphite,,,,,
St Dizier,TAS,-41.8239,145.1352,Mineral deposit,Tungsten,,,,,
Stanton,NT,-16.7300,137.7500,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Stormont,TAS,-41.4978,146.0370,Mineral deposit,Bismuth +/- Cobalt +/- Indium,,,,,
Sugarbag Hill ,Qld ,-18.4829,143.6457,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Sunrise,NSW,-32.7567,147.4196,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Tallebung,NSW,-32.7381,146.5807,Mineral deposit,Tungsten,,,,,
Tambellup,WA,-34.0398,117.5314,Mineral deposit,High Purity Alumina,,,,,
Tampu,WA,-30.2232,117.8105,Mineral deposit,High Purity Alumina,,,,,
Termination Hill,SA,-30.2246,138.0242,Mineral deposit,Magnesium,,,,,
The Horn,WA,-28.1674,120.9166,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Thuddungra,NSW,-34.1764,148.0505,Operating mine,Magnesium,,,,,
Thunderbird,WA,-17.4317,122.9679,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Tiger,SA,-32.9114,134.7380,Mineral deposit,High Purity Alumina,,,,,
TIO,QLD,-17.0960,144.2582,Mineral deposit,Titanium,,,,,
Toolebuc,QLD,-20.4828,142.8510,Mineral deposit,"Vanadium, Molybdenum",,,,,
Torrington,NSW,-29.2697,151.6563,Mineral deposit,Tungsten,,,,,
Tower,WA,-25.6230,117.1540,Mineral deposit,Rare Earth Elements (REE),,,,,
Tripitaka,SA,-31.5451,132.8047,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Triple Four,QLD,-22.8287,149.8750,Mineral deposit,Magnesium,,,,,
Trough Well,WA,-30.6732,118.8948,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Typhoon,SA,-30.9319,132.2536,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Uley 2,SA,-34.7992,135.7019,Mine - under development,Graphite,,,,,
Unaly Hill,WA,-28.3742,118.9470,Mineral deposit,"Titanium, Vanadium",,,,,
Unicorn,VIC,-36.3386,147.9896,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Urquhart,QLD,-12.7500,141.8000,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Venus ,WA,-27.8150,120.7040,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Victory Bore,WA,-28.2619,118.9890,Mineral deposit,Vanadium,,,,,
Vulcan,QLD,-21.0506,140.5476,Mineral deposit,Cobalt,,,,,
Walford Creek,QLD,-17.7858,138.2847,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Waterloo,WA,-28.1438,120.9780,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Watershed,QLD,-16.3393,144.8808,Mineral deposit,Tungsten,,,,,
Wedderburn,VIC,-36.2167,143.6998,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
West Eucla,WA,-32.1852,123.1998,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
West Jordan,WA,-27.0167,120.4361,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
West Lynn,NSW,-31.4982,147.0391,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
West Mount Hut,SA,-30.0081,137.7763,Mineral deposit,Magnesium,,,,,
West Orient,QLD,-17.3455,145.1841,Mineral deposit,Indium,,,,,
White Cloud,WA,-30.8363,117.6691,Mineral deposit,High Purity Alumina,,,,,
White Hill,WA,-26.7321,116.3843,Mineral deposit,Silicon (High purity silica/quartz),,,,,
White Rock,NSW,-34.4989,148.9050,Mineral deposit,Tungsten,,,,,
White Violet,NT,-22.7316,136.0725,Mineral deposit,Tungsten,,,,,
Whitewash,QLD,-24.8065,150.8750,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Widgie North,WA,-31.4559,121.5390,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Widgie South,WA,-31.5191,121.5875,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Wilco South,SA,-33.2969,136.4440,Mineral deposit,Graphite,,,,,
Wilconi,WA,-26.6000,120.1965,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Wim 100,VIC,-36.9572,141.9258,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Wim 150,VIC,-36.8043,142.3678,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Winchelsea Island,NT,-13.7690,136.5080,Mineral deposit,Manganese Ore,,,,,
Winchester,NSW,-33.3400,142.3100,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Winchester,NT,-13.0462,131.0612,Mineral deposit,Magnesium,,,,,
Windabout,SA,-31.3894,137.1333,Mineral deposit,Cobalt,,,,,
Windanya-Blue Dam,WA,-30.3800,121.2538,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Windimurra,WA,-28.2916,118.5300,Mine - care and maintenance,Vanadium,,,,,
Wingellina,WA,-26.0396,128.9393,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Witchelina,SA,-30.1176,137.9905,Mineral deposit,Magnesium,,,,,
Wodgina,WA,-21.1746,118.6764,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Wolfram Camp,QLD,-17.0845,144.9694,Mine - care and maintenance,"Tungsten, Molybdenum",,,,,
Wonnerup,WA,-33.6481,115.4567,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Woodie Woodie,WA,-21.6388,121.2355,Operating mine,Manganese Ore,,,,,
Yaamba,QLD,-23.0786,150.3010,Mineral deposit,Magnesium,,,,,
Yabbie,NSW,-33.5200,142.5000,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Yakabindie ,WA,-27.4555,120.5775,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Yalbra,WA,-25.5611,116.3548,Mineral deposit,Graphite,,,,,
Yalyalup,WA,-33.6897,115.4723,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Yanco Glen,NSW,-31.6566,141.5385,Mineral deposit,Tungsten,,,,,
Yangibana,WA,-23.9061,116.2959,Mine - under development,Rare Earth Elements (REE),,,,,
Yarawindah Brook,WA,-31.0908,116.2609,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Yarrabubba,WA,-27.0244,118.7056,Mineral deposit,"Titanium, Vanadium",,,,,
Yeelirrie,WA,-27.1797,119.9045,Mineral deposit,Vanadium,,,,,
Yendon,VIC,-37.6572,143.9800,Mine - care and maintenance,High Purity Alumina,,,,,
Yeoval,NSW,-32.7299,148.6420,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Yerilla,WA,-29.4849,121.9050,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Youanmi,WA,-28.6089,118.7705,Mineral deposit,"Titanium, Vanadium",,,,,
Young Australian,QLD,-21.3378,140.4067,Mineral deposit,Cobalt,,,,,
Zeehan,TAS,-41.8720,145.3260,Mineral deposit,Indium,,,,,
