Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Cadoux,WA,-30.6772,117.1930,Mine - under development,High Purity Alumina,,,,,
Callisto,WA,-32.0980,121.6546,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Camel Creek,QLD,-18.8169,145.5625,Mineral deposit,Antimony,,,,,
Camel Flat,SA,-30.5649,138.3703,Mineral deposit,Magnesium,,,,,
Camelback Bore,WA,-29.1732,122.2539,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Campoona,SA,-33.5279,136.4790,Mineral deposit,Graphite,,,,,
Canegrass,WA,-30.2046,120.9849,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Canegrass,WA,-28.3571,118.4011,Mineral deposit,Vanadium,,,,,
Cangai,NSW,-29.5001,152.4897,Mineral deposit,Cobalt,,,,,
Canoona,QLD,-23.0797,150.2659,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Cape Flattery,QLD,-14.9600,145.3300,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Cape Flattery,QLD,-14.9850,145.3228,Operating mine,Silicon (High purity silica/quartz),,,,,
Capricorn Copper,QLD,-19.6975,139.3659,Operating mine,Cobalt,,,,,
Caravel,WA,-30.9696,116.6188,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Carboona,NSW,-35.8249,147.7237,Mineral deposit,Fluorine,,,,,
Carlingup,WA,-33.5727,120.2209,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Carlow Castle,WA,-20.8108,117.0665,Mineral deposit,Cobalt,,,,,
Carr Boyd,WA,-30.0659,121.6261,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Cassini,WA,-31.7009,121.6211,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Cataby,WA,-30.7351,115.5387,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Cawse,WA,-30.3689,121.1485,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Celia,NT,-13.0316,131.0649,Mineral deposit,Magnesium,,,,,
Champion Road,TAS,-41.1265,145.4345,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Charley Creek,NT,-23.5011,132.8747,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Circle Valley,WA,-32.9921,121.8910,Mineral deposit,Rare Earth Elements (REE),,,,,
Claude Hills,SA,-26.0110,129.1756,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Cleveland,TAS,-41.4770,145.3850,Mineral deposit,Tungsten,,,,,
Cliffs,WA,-27.3105,120.5528,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Coates,WA,-31.7425,116.4129,Mineral deposit,Vanadium,,,,,
Coburn,WA,-26.7038,114.1270,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Coglia,WA,-29.0110,122.9884,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Conrad,NSW,-29.9549,151.0244,Mineral deposit,Indium,,,,,
Contact,WA,-22.2637,121.1711,Mineral deposit,Manganese Ore,,,,,
Cooljarloo,WA,-30.6352,115.4242,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Coolup,WA,-32.7229,115.9411,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Copernicus,WA,-17.6588,127.9910,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Copi,NSW,-33.6199,141.3496,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
